dataset,f1,method,param_candidate_count,param_check_layer,param_full_recompute_layer_count,param_oracle_receiver_full_kv,param_profiling_f1,param_profiling_latency_s,param_recompute_layer_count,param_recompute_layers,param_recompute_work_ratio,param_reference_mode,param_selected_count,param_selected_fraction,param_token_recompute_ratio,prefill_latency_s_mean,prefill_latency_s_p50,prefill_latency_s_p95,samples
hotpotqa_50,0.19238095238095237,token_only_ratio_0p200,177,0,1,False,,,,"[0, 0]",0.225,False,35,0.1977401129943503,0.2,0.05647068507969379,0.055691756308078766,0.057475574081763625,50
hotpotqa_50,0.4411428571428571,hybrid_layers_12_13_ratio_0p200,177,0,3,False,,,2,"[12, 13]",0.275,False,35,0.1977401129943503,0.2,0.05512330122292042,0.05491385888308287,0.055780730117112404,50
hotpotqa_50,0.5997142857142858,hybrid_layers_14_17_ratio_0p200,177,0,5,False,,,4,"[14, 17]",0.325,False,35,0.1977401129943503,0.2,0.054919477943331005,0.05449353763833642,0.05607953080907464,50
hotpotqa_50,0.6403809523809525,hybrid_layers_12_17_ratio_0p200,177,0,7,False,,,6,"[12, 17]",0.375,False,35,0.1977401129943503,0.2,0.05508166845887899,0.0542464517056942,0.05714647690765559,50
hotpotqa_50,0.6775238095238096,hybrid_layers_12_19_ratio_0p200,177,0,9,False,,,8,"[12, 19]",0.42500000000000004,False,35,0.1977401129943503,0.2,0.05538505118340254,0.05396445142105222,0.06008997638709843,50
hotpotqa_50,0.7175238095238096,hybrid_layers_10_19_ratio_0p200,177,0,11,False,,,10,"[10, 19]",0.475,False,35,0.1977401129943503,0.2,0.05570167290046811,0.054087597876787186,0.06158954622223973,50
hotpotqa_50,0.7403809523809524,hybrid_layers_10_21_ratio_0p200,177,0,13,False,,,12,"[10, 21]",0.525,False,35,0.1977401129943503,0.2,0.05629969652742148,0.05394239956513047,0.06383266942575573,50
hotpotqa_50,0.7803809523809524,hybrid_layers_08_21_ratio_0p200,177,0,15,False,,,14,"[8, 21]",0.575,False,35,0.1977401129943503,0.2,0.057081450819969175,0.05314731691032648,0.06986407805234193,50
hotpotqa_50,0.7403809523809524,hybrid_layers_10_25_ratio_0p200,177,0,17,False,,,16,"[10, 25]",0.625,False,35,0.1977401129943503,0.2,0.057958580423146486,0.053692006040364504,0.07027854570187628,50
hotpotqa_50,0.7403809523809524,hybrid_layers_10_27_ratio_0p200,177,0,19,False,,,18,"[10, 27]",0.675,False,35,0.1977401129943503,0.2,0.05896159032359719,0.05530492961406708,0.07392354030162095,50
hotpotqa_50,0.7937142857142857,hybrid_layers_06_25_ratio_0p200,177,0,21,False,,,20,"[6, 25]",0.725,False,35,0.1977401129943503,0.2,0.05978834638372064,0.05362108023837209,0.07746588746085761,50
hotpotqa_50,0.7070476190476191,hybrid_layers_10_31_ratio_0p200,177,0,23,False,,,22,"[10, 31]",0.775,False,35,0.1977401129943503,0.2,0.06113721277564764,0.054763360414654016,0.07978346399031577,50
hotpotqa_50,0.8003809523809522,hybrid_layers_02_25_ratio_0p200,177,0,25,False,,,24,"[2, 25]",0.825,False,35,0.1977401129943503,0.2,0.061496708281338214,0.053985214326530695,0.08378233797848222,50
hotpotqa_50,0.8203809523809524,hybrid_layers_06_31_ratio_0p200,177,0,27,False,,,26,"[6, 31]",0.875,False,35,0.1977401129943503,0.2,0.063218844383955,0.05568606127053499,0.0864041522145271,50
hotpotqa_50,0.8270476190476189,hybrid_layers_04_31_ratio_0p200,177,0,29,False,,,28,"[4, 31]",0.925,False,35,0.1977401129943503,0.2,0.06435139194130897,0.05567660601809621,0.09035210148431361,50
hotpotqa_50,0.8270476190476189,hybrid_layers_02_31_ratio_0p200,177,0,31,False,,,30,"[2, 31]",0.975,False,35,0.1977401129943503,0.2,0.06553188629448414,0.05586791504174471,0.09398644678294657,50
hotpotqa_50,0.8003809523809522,hybrid_layers_00_31_ratio_0p200,177,0,32,False,,,32,"[0, 31]",1.0,False,35,0.1977401129943503,0.2,0.06647896029055118,0.05973971961066127,0.09554453459568321,50
